id,title,authors,year,venue,search_string,v1_decision,v1_reason
53,SIGCSETS 2025: Proceedings of the 56th ACM Technical Symposium on Computer Science Education V. 2,"Jeffrey A. Stone, Timothy Yuen, Libby Shoop, + 2",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
54,ICAIL '25: Proceedings of the Twentieth International Conference on Artificial Intelligence and Law,Juliano Maranhão,2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
55,MLCAD '24: Proceedings of the 2024 ACM/IEEE International Symposium on Machine Learning for CAD,"Hussam Amrouch, Jiang Hu, Siddharth Garg, Yibo Lin",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
56,FDG '24: Proceedings of the 19th International Conference on the Foundations of Digital Games,"Gillian Smith, Jim Whitehead, Ben Samuel, Katta Spiel, + 1",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
57,SIGCSETS 2025: Proceedings of the 56th ACM Technical Symposium on Computer Science Education V. 1,"Jeffrey A. Stone, Timothy Yuen, Libby Shoop, + 2",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
58,EASE '25: Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,"Muhammad Ali Babar, Ayşe Tosun, Stefan Wagner, Viktoria Stray",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
59,"EuroPLoP '24: Proceedings of the 29th European Conference on Pattern Languages of Programs, People, and Practices","71 Citation 27,406 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
60,GLSVLSI '25: Proceedings of the Great Lakes Symposium on VLSI 2025,"Lu Peng, Boris Vaisband, Fan Chen, Peipei Zhou, + 2",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
61,Generalized Source-Free Domain-adaptive Segmentation via Reliable Knowledge Propagation,"Qi Zang, Shuang Wang, Dong Zhao, Yang Hu, Dou Quan, Jinlong Li, + 2",2026,MM '24: Proceedings of the 32nd ACM International Conference on MultimediaPages 5967–5976https://doi.org/10.1145/3664647.3680567,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
62,Twins: Hardware Similarity Evaluation Framework Using Graph Neural Network,"Yiran He, Haihua Shen, Zirui Jiang, Shan Li, Xiao Ji, Huawei Li",2026,"ACM Transactions on Design Automation of Electronic Systems (TODAES), Volume 31, Issue 3Article No.: 57, Pages 1–25https://doi.org/10.1145/3786598",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
63,Out-of-Distribution Detection: A Task-Oriented Survey of Recent Advances,"Shuo Lu, Yingsheng Wang, Lijun Sheng, Lingxiao He, Aihua Zheng, Jian Liang",2026,"ACM Computing Surveys (CSUR), Volume 58, Issue 2Article No.: 37, Pages 1–39https://doi.org/10.1145/3760390",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
