id,title,authors,year,venue,search_strings,v1_decision,v1_reason,v2_decision,v2_reason
212,Combining TSL and LLM to Automate REST API Testing: A Comparative Study,"T Barradas, A Paes, VO Neves - arXiv preprint arXiv:2509.05540, 2025",2026,arxiv.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
213,An explainable end-to-end autonomous driving framework based on large language model and vision modality fusion: design and application of DriveLLM-V,"J Hou, H Wang, T Li, E Dong - Transportation Research Part C: Emerging …, 2025",2026,Elsevier,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
214,Constraint Decay: The Fragility of LLM Agents in Backend Code Generation,"F Dente, D Satriani, P Papotti - arXiv preprint arXiv:2605.06445, 2026",2026,arxiv.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
215,WebMAC: A Multi-Agent Collaborative Framework for Scenario Testing of Web Systems,"Z Wan, G Chen, Q Huang, X Xie - arXiv preprint arXiv:2604.13559, 2026",2026,arxiv.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
216,AutoTestGen: Intelligent automated test case generation using GPT-3.5 Turbo,"S Riyaz, MI Ali, SV Yeshwanth, SS Kumar… - Sustainable Electrical …, 2025",2026,taylorfrancis.com,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
217,Context-Augmented LLMs for End-to-End Requirements-to-Test Automation in Complex Software Systems,D Micheal,2022,researchgate.net,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
218,A cloud–edge collaborative architecture for multimodal LLM-based advanced driver assistance systems in IoT networks,"Y Hu, D Ye, J Kang, M Wu, R Yu - IEEE Internet of Things …, 2024",2026,ieeexplore.ieee.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
219,Three decades of the OO-Method: fostering conceptual-model software engineering: O. Pastor et al.,"O Pastor, R Noel, JI Panach - Software and Systems Modeling, 2025",2026,Springer,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
220,The Role of LLMs in Collaborative Software Design,"V Jackson, Y Cha, R Prikladnicki… - arXiv preprint arXiv …, 2026",2026,arxiv.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
221,From Natural Language to Executable Properties for Property-based Testing of Mobile Apps,"Y Xiong, T Su, J Sun, J Wang, Q Li, G Pu… - arXiv preprint arXiv …, 2026",2026,arxiv.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
222,BDD-GAN: a brocade image generation method via dual discriminator and feature fusion,"J Sheng, J Zhou, S Luo, Z Sun - Journal of Electronic Imaging, 2024",2026,spiedigitallibrary.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
223,"Llm-based multi-agent systems for software engineering: Literature review, vision, and the road ahead","J He, C Treude, D Lo - ACM Transactions on Software Engineering and …, 2025",2026,dl.acm.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
224,"When Prompt Engineering Meets Software Engineering: CNL-P as Natural and Robust"" APIs''for Human-AI Interaction","Z Xing, Y Liu, Z Cheng, Q Huang, D Zhao… - arXiv preprint arXiv …, 2025",2026,arxiv.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
225,Tracing feature tests to textual requirements,"M Dahiya, M Li, G Horton, T Scherz… - 2024 IEEE International …, 2024",2026,ieeexplore.ieee.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
226,Using github copilot for test generation in python: An empirical study,"K El Haji, C Brandt, A Zaidman - Proceedings of the 5th ACM/IEEE …, 2024",2026,dl.acm.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
227,"Artificial Intelligence in Software Testing: Test scenario and case generation with an AI model (gpt-3.5-turbo) using Prompt engineering, Fine-tuning and …",G Adu,2024,erepo.uef.fi,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
228,Utilização de Chat Bots baseados em LLMs para automação de testes de software.,CM Oliveira,2024,monografias.ufop.br,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
229,Detecting and correcting duplication in behaviour driven development specifications,LP Binamungu,2020,search.proquest.com,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
230,Improving test case diversity for functional testing in computer vision-based systems,"R Reyna Pena, S Simske, W Troxell, S Conrad…",2026,mountainscholar.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
231,"How Do Developers Use ChatGPT for Software Test Generation? Usage Patterns, Satisfaction, and Code Adoption Analysis","S He, W Zhan, J Wang, J Dai, H Chen… - 2025 32nd Asia …, 2025",2026,ieeexplore.ieee.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
232,Test automation with Selenium: A survey,"B García Gutiérrez, F Ricca, M Leotta…",2026,e-archivo.uc3m.es,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
233,AI or LLM assisted software testing: a mapping study,S Al Amin,2025,lutpub.lut.fi,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
234,Quality Evaluation of LLM-based Generated Test Case: A Literature Review,"N Setiani - 2025 IEEE International Conference on Data and …, 2025",2026,ieeexplore.ieee.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
235,The Test Pyramid 2.0: AI-assisted testing across the pyramid,"P Desai, S Singh, S Amilkanthwar - Frontiers in Artificial Intelligence, 2025",2026,frontiersin.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
236,Test case generation from natural language requirements for embedded systems with semantic role labeling,A Kugler,2025,publications.rwth-aachen.de,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
237,Enhancing the Software Development Life Cycle through Integration of Generative Artificial Intelligence,WLD Thilakarathna,2025,rda.sliit.lk,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
238,Exploring the Use of LLMs to Reduce the Discarding of MBT Test Cases,"CDQ Lima, ELG Alves, WL Andrade… - 2025 IEEE 49th Annual …, 2025",2026,ieeexplore.ieee.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
239,Are we testing or being tested? exploring the practical applications of large language models in software testing,"R Santos, I Santos, C Magalhaes… - … IEEE Conference on …, 2024",2026,ieeexplore.ieee.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
240,ChatGPT-like large language models for testing and verification of autonomous intelligent systems: a systematic review,"D Li, R Lin, Z Wang, YF Li - Journal of Reliability Science and …, 2026",2026,iopscience.iop.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
241,"[TRÍCH DẪN] Validate faster, develop smarter: A review of frontend testing best Practices and Frameworks",MK Dobbala,2023,Google Scholar,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
242,Towards Test Generation from Task Description for Mobile Testing with Multi-modal Reasoning,"H Huynh, H Phung, H Pham, TN Nguyen… - arXiv preprint arXiv …, 2025",2026,katalon.com,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
243,Genia-e2etest: A generative ai-based approach for end-to-end test automation,"E Júnior, A Valejo, J Valverde-Rebaza… - arXiv preprint arXiv …, 2025",2026,arxiv.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
244,WebTestPilot: Agentic End-to-End Web Testing against Natural Language Specification by Inferring Oracles with Symbolized GUI Elements,"X Teoh, Y Lin, DM Nguyen, R Ren, W Zhang… - arXiv preprint arXiv …, 2026",2026,arxiv.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
245,Enhancing software testing automation through large language models,YS Iznaga,2025,search.proquest.com,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
246,HyGen—A Hybrid Automation Testing Approach for Reducing Hallucination in LLM-Based Applications,"A Chakraborty, C Mallick, R Chakraborty… - … Conference on Data …, 2025",2026,Springer,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
247,Advancing Sustainable Quality Engineering: Preventative Test Approach with PreventativeTestPro GPT and Observability Data,"S Patel¹, K Patil¹, V Meshram - Proceedings of the International …, 2026",2026,books.google.com,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
248,Codeless and Scalable Solution For Microservice Test Automation,"A Chatterjee - 2025 5th International Conference on …, 2025",2026,ieeexplore.ieee.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
249,Overlap between automated unit and acceptance testing–a systematic literature review,"J van Heugten Breurkes, F Gilson… - Proceedings of the 26th …, 2022",2026,dl.acm.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
250,AI-Driven Acceptance Testing: first insights exploring the educational potential for test analysts,"CJL Maia, YPC Aguiar - Proceedings of the XXIII Brazilian Symposium …, 2024",2026,dl.acm.org,String B,INCLUDE,,,
251,Hamster: A Large-Scale Study and Characterization of Developer-Written Tests,"R Pan, T Stennett, R Pavuluri, N Levin, A Orso… - arXiv preprint arXiv …, 2025",2026,arxiv.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
252,[TRÍCH DẪN] Maximizing Comprehensive Test Coverage through Concurrent Execution Strategies in High-Performance Software Development Environments,D Gogri,2024,Google Scholar,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
253,A Systematic Reuse Process for Automated Acceptance Tests: Construction and Elementary Evaluation,"M Irshad, K Petersen - e-Informatica Software Engineering …, 2021",2026,bibliotekanauki.pl,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
254,Llm-based unit test generation via property retrieval,"Z Zhang, X Liu, Y Lin, X Gao, H Sun, Y Yuan - arXiv preprint arXiv …, 2024",2026,arxiv.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
255,ADAPTIVE NATURAL LANGUAGE PROCESSING-BASED TEST AUTOMATION FRAMEWORK: ENABLING SELF-HEALING AND CONTEXT-AWARE TEST …,"PS Samal, SK Palus, SK Padmam",2026,ijcionline.com,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
256,ABFS: Natural robustness testing for LLM-based NLP software,"M Xiao, Y Xiao, S Ji, Y Li, L Xue, P Zhang - arXiv preprint arXiv …, 2025",2026,arxiv.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
257,Quality Engineering for Agile and DevOps on the Cloud and Edge,"E Farchi, S Route - arXiv preprint arXiv:2302.03651, 2023",2026,arxiv.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
258,Reference-based retrieval-augmented unit test generation,"Z Zhang, X Liu, Y Lin, X Gao, H Sun… - ACM Transactions on …, 2026",2026,dl.acm.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
259,Implications and Advantages of AI Test Actualization in API Automated Software Testing,"A Karacholeva, M Petrov - International Conference on Flexible Query …, 2025",2026,Springer,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
260,"AI-Based Test Case Generation from Jira Stories, Swagger, or Code",P Palanisamy,2024,ijctjournal.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
261,[TRÍCH DẪN] Створення фреймворків для UI тестування на базі ChatGPT,ВВ Лавренко,2023,Google Scholar,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
262,An open-source framework for cross-platform testing in agile projects,"I Yanjari, B Marín, G Giachetti - 2022 41st International …, 2022",2026,ieeexplore.ieee.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
263,Comparative evaluation of the state-of-art requirements-based test case generation approaches,"A Mustafa, WMN Wan-Kadir… - International Journal on …, 2017",2026,researchgate.net,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
264,Automatic Testing Framework Based On Serenity And Jenkins Automated Build,"U Sa'adah, JAN Hasim, AA Yunanto… - JUTI: Jurnal Ilmiah …, 2021",2026,juti.if.its.ac.id,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
265,BRINGING NLP TO JAVA CODING-CHATGPT CODE DEVELOPER.,"A TĂBUȘCĂ, A LUCHICI… - Journal of Information …, 2024",2026,search.ebscohost.com,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
266,Analysis & detection of SQL injection vulnerabilities via automatic test case generation of programs,"M Ruse, T Sarkar, S Basu - 2010 10th IEEE/IPSJ International …, 2010",2026,ieeexplore.ieee.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
267,EyeNav: Accessible Webpage Interaction and Testing using Eye-tracking and NLP,"JD Yepes-Parra… - 2025 40th IEEE/ACM …, 2025",2026,ieeexplore.ieee.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
268,Generación automática de casos de prueba mediante modelos de lenguaje (LLM),"I Barahona Cánovas, G Contreras Gordo",2024,docta.ucm.es,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
269,Hallucination Detection for LLM-based Text-to-SQL Generation via Two-Stage Metamorphic Testing,"B Yang, Y Xia, W Sun, Y Liu - arXiv preprint arXiv:2512.22250, 2025",2026,arxiv.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
270,SAINT: Service-level Integration Test Generation with Program Analysis and LLM-based Agents,"R Pan, R Pavuluri, R Huang, R Krishna… - arXiv preprint arXiv …, 2025",2026,arxiv.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
271,Automated Unit Test Generation via Metaprogramming: A Deterministic Alternative to AI-Based Test Synthesis,"N Bhatt - … on Information, Implementation, and Innovation in …, 2025",2026,ieeexplore.ieee.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
272,Shift-Up: A Framework for Software Engineering Guardrails in AI-native Software Development--Initial Findings,"P Lipsanen, L Rannikko, F Christophe… - arXiv preprint arXiv …, 2026",2026,arxiv.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
273,Effectiveness of Artificial Intelligence in Automation Testing in Software Development Cycle,"W Haratua, FC Handoko, K Valentino… - 2025 International …, 2025",2026,ieeexplore.ieee.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
274,"Are"" solved issues"" in swe-bench really solved correctly? an empirical study","Y Wang, M Pradel, Z Liu - arXiv preprint arXiv:2503.15223, 2025",2026,arxiv.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
275,Automated testing of mobile applications: methodological foundations and a practical device farm solution,PH Kuroishi,2025,bdtd.ibict.br,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
276,Curiosity-driven red-teaming for large language models,"ZW Hong, I Shenfeld, J Wang… - International …, 2024",2026,proceedings.iclr.cc,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
277,An Automation Framework Based on System API to Improve the Execution Time and Reduce Test Flakiness,TS Chilke,2021,digitalcommons.library.uab.edu,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
278,"Advances in llms with focus on reasoning, adaptability, efficiency and ethics","A Khan, MZ Khan, A Zainab, S Jamshed… - arXiv preprint arXiv …, 2025",2026,arxiv.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
279,Integrating verification components,"L de Moura, S Owre, H Rueß… - Verified Software …, 2005",2026,leodemoura.github.io,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
280,A Survey on Large Language Model-empowered Autonomous Driving,"Y Zhu, S Wang, W Zhong, N Shen, Y Li, S Wang… - arXiv preprint arXiv …, 2024",2026,arxiv.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
281,АВТОМАТИЗОВАНА ГЕНЕРАЦІЯ ТЕСТОВИХ ВИПАДКІВ ПРОГРАМНОГО ЗАБЕЗПЕЧЕННЯ ЗА ДОПОМОГОЮ ВЕЛИКИХ МОВНИХ МОДЕЛЕЙ З …,"ЄА Чичкарьов, ОВ Семенов - … ТА ІНФОРМАЦІЙНІ ТЕХНОЛОГІЇ, 2025",2026,tit.duikt.edu.ua,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
282,STELP: Secure Transpilation and Execution of LLM-Generated Programs,"S Shinde, S Wadhwa, A Luo, A Gupta… - arXiv preprint arXiv …, 2026",2026,arxiv.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
283,"Advancing software testing: Integrating AI, machine learning, and emerging technologies","R Madhumita, D Chandana - environments, 2025",2026,academia.edu,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
284,Verifiable Cleanliness for LLMs: A Baseline Framework for Supply-Chain Auditability and Poison Resistance,"J Raser - Available at SSRN 5658750, 2025",2026,papers.ssrn.com,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
285,Design and evaluation of a Robot Framework-based test suite for the test editor feature of a Telecom Call Manager,L Kühnis,2026,lutpub.lut.fi,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
286,On sample-efficient code generation,"H Han, YJ Kim, B Kim, Y Lee, K Lee, K Lee… - Proceedings of the …, 2023",2026,aclanthology.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
287,LLM Agents for Autonomous System Testing: A Semi-structured Literature Review,"S Fischer, W Kloihofer - International Conference on Software Quality, 2026",2026,Springer,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
288,SATORI: Static Test Oracle Generation for REST APIs,"JC Alonso, A Martin-Lopez, S Segura, G Bavota… - arXiv preprint arXiv …, 2025",2026,arxiv.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
289,Can a Large Language Model Win a Kaggle Competition?,"I Gordyy, E Rendon, N Islam… - 2025 IEEE International …, 2025",2026,ieeexplore.ieee.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
290,"AI in GUI-Based Testing: A Survey of Techniques, Tools, and Perceived Advantages and Limitations","D Amalfitano, R Coppola, D Distante, F Ricca - Journal of Systems and …, 2025",2026,Elsevier,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
291,AI-driven test automation: Transforming software quality engineering,"JS Patel - Journal of Computer Science and Technology …, 2025",2026,al-kindipublishers.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
292,Agentic LLM-Driven Simulation Testing and Automated Analysis for Small Uncrewed Aerial Systems,"J Garapati, A Shah, B Zhang, M Vierhauser… - Available at SSRN …",2026,papers.ssrn.com,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
293,Generative AI for software test modelling with a focus on ERP software,"A Garg, D Sharma - 2023 International Conference on …, 2023",2026,ieeexplore.ieee.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
294,PreventativeTestPro: A Scalable Hybrid Testing Framework Utilizing Observability and Generative AI for Proactive Software Quality Engineering,"S Patel, K Patil, V Meshram, P Chumchu - JoVE (Journal of Visualized …, 2026",2026,jove.com,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
295,Part 1. Why AI-Enhanced BDD is the Future of Test Automation,WTSF Short,2026,generativeai.pub,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
296,Pcart: Automated repair of python api parameter compatibility issues,"S Zhang, G Xiao, J Wang, H Lei, G He… - IEEE Transactions …, 2025",2026,ieeexplore.ieee.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
297,Beyond snippet assistance: A workflow-centric framework for end-to-end ai-driven code generation,"V Sonkin, C Tudose - Computers, 2025",2026,mdpi.com,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
298,Test case generation and fault diagnosis methods for communication protocols based on FSM and EFSM models,R Thavasinadar,1994,spectrum.library.concordia.ca,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
299,Metamorphic relation generation: State of the art and visions for future research,"R Li, H Liu, PL Poon, D Towey, CA Sun… - arXiv preprint arXiv …, 2024",2026,arxiv.org,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
300,Bigcodebench: Benchmarking code generation with diverse function calls and complex instructions,"TY Zhuo, MC Vu, J Chim, H Hu, W Yu… - International …, 2025",2026,proceedings.iclr.cc,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
301,[TRÍCH DẪN] Teste de aceitação gerado por Inteligência Artificial: um estudo exploratório sobre seu potencial de uso por analistas de teste,CJL Maia,2023,Universidade Federal da Paraíba,String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
