id,title,authors,year,venue,search_strings,v1_decision,v1_reason,v2_decision,v2_reason
47,LLM-Assisted Repository-Level Generation with Structured Spec-Driven Engineering,"S Feng, B Chen, BH Meyer, G Mussbacher - arXiv preprint arXiv …, 2026",2026,arxiv.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
48,Empowering agile-based generative software development through human-ai teamwork,"S Zhang, Z Xing, R Guo, F Xu, L Chen… - ACM Transactions on …, 2025",2026,dl.acm.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
49,Towards Integrating Behavior-Driven Development in Mobile Development: An Experience Report,"Q Hao, R Liu - Proceedings of the 56th ACM Technical Symposium on …, 2025",2026,dl.acm.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
50,An Aggregated Dataset of Agile User Stories and Use Case Taxonomy for AI-Driven Research.,"A Alhaizaey, M Al-Mashari - International Journal of …, 2025",2026,search.ebscohost.com,String A,INCLUDE,,,
51,Spec-Driven Development: From Code to Contract in the Age of AI Coding Assistants,"DB Piskala - arXiv preprint arXiv:2602.00180, 2026",2026,arxiv.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
52,Mining Subscenario Refactoring Opportunities in Behaviour-Driven Software Test Suites: ML Classifiers and LLM-Judge Baselines,"AH Mughal, N Fatima, M Bilal - arXiv preprint arXiv:2605.14568, 2026",2026,arxiv.org,String A; String B,INCLUDE,,,
53,Improving Software Quality Framework Using Artificial Intelligence Platforms,"SM Pendyala - AI Frameworks and Tools for Software Development, 2025",2026,igi-global.com,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
54,"A process-centric review of large language models in graphical user interface testing: architectures, lifecycle impact, and challenges","MP Trong, NT Son, VT Giang, BH Viet, LN Hai… - PeerJ Computer …, 2026",2026,peerj.com,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
55,Prompt Engineering for Analyzing Acceptance Criteria for Functional Requirements,"L Rutledge, K van der Kruk - … on Business Modeling and Software Design, 2025",2026,Springer,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
56,Ai-generated test scripts for web e2e testing with chatgpt and copilot: A preliminary study,"M Leotta, HZ Yousaf, F Ricca, B Garcia - Proceedings of the 28th …, 2024",2026,dl.acm.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
